BK0001,BINAKON,Binakon Sdn. Bhd. ,"Wisma Binakon, Lengkungan Hishamuddin, Kawasan 20 Bandar Sultan Sulaiman, 42000 Port Klang","Wisma Binakon, Lengkungan Hishamuddin, Kawasan 20 Bandar Sultan Sulaiman, 42000 Port Klang",Mr. Kannan / Mr. Siow Tee Heong,012-3373142 / 012-2023849,kannan@binakon.com / thsiowbinakon.com,,2.999222,101.391667
BK0002,ODD 8,CWT Container Logistics Sdn. Bhd. ,"CA Corporate Services Sdn. Bhd., 1 & 1A, 2nd Floor (Room 2), Jalan Ipoh Kecil, 50350 Kuala Lumpur. ","ODD 8, Westports CT4, Pulau Indah, 42920 Port Klang",Mr. Muhammad Firdaus / Mr. Karthikan,012-3422160 / 012-2403765,firdaus@my.containerlog.cwtlimited.com / karthikan@my.containerlog.cwtlimited.com,On Dock Depot (inside westport),2.943444,101.303194
BK0003,,Klang Reefer Services Sdn. Bhd. ,"19 & 19A Jalan Cemerlang, 42000 Port Klang","Lot 5 Lebuh Sultan Mohamed 1, Bandar Sultan Sulaiman, 42000 Port Klang",Mr. Mohd Farid Hj Murad / Mr. Jamil,012-3826240 / 017-9702650,mfarid@klangreefer.com.my / krs_depoh@klangreefer.com.my,,3.034417,101.369139
BK0004,CCM 1,Container Connections (M) Sdn. Bhd. ,"Lot 18 Lebuh Sultan Mohamad 1, Kawasan Perusahaan Bandar Sultan Sulaiman, 42000 Port Klang","Lot 18 Lebuh Sultan Mohamad 1, Kawasan Perusahaan Bandar Sultan Sulaiman, 42000 Port Klang",Mr. Azmi,017-4751119,azmi@containerconnections.com.my,,3.038722,101.370056
BK006,SYN HEE,Syn Hee Container Services Sdn. Bhd. ,"109A & 109B Lintang Sultan Muhamad 1B, Pusat Perdagangan Bandar Sultan Sulaiman, 42000 Port Klang","12 Lingkaran Sultan Mohamad 1, Selat Klang Utara, 42000 Port Klang",Mr. Tan Han Leng,017-3083773,hltan@synheecontainer.com.my / ops@synheecontainer.com.my,,3.021556,101.367389
BK0007,ODD 11,Container Connections (M) Sdn. Bhd. ,"24-2A Jalan Puteri 1/5, Bandar Puteri, 47100 Puchong","ODD 11, Westports CT4, Pulau Indah, 42009 Port Klang","Mr. Aeson Ng Aik Chun, Ms. Jacky",017-4381119,aeson.odd11@containerconnections.com.my / jacky.odd11@containerconnections.com.my,On Dock Depot (inside westport),2.952056,101.308667
BK0008,ELY,Excellent Link (M) Sdn. Bhd.,"31 Jalan Perigi Nanas 7/1, 42920 Port Klang","Lot 31, Seksyen 12, Jalan Perigi Nanas 7/1, Taman Perindustrian Pulau Indah, 42920 Port Klang",Mr. Anbah,017-6929636,anbah.ops@excellentlink.com.my / operations@excellentlink.com.my,,2.947417,101.316694
BK0009,PSSB 2,Premierpath System Sdn. Bhd. (Westport),"6 Jalan Perigi Nenas 7/3, Taman Perindustrian Pulau Indah, 42920 Pulau Indah","6 Jalan Perigi Nenas 7/3, Taman Perindustrian Pulau Indah, 42920 Pulau Indah",Mr. Mohamad Azhari / Mr. Halil / Mr. Kasamani Jais,016-2256591 / 017-5468889 / 012-2191594,azhari@premierpath.com.my / halil@premierpath.com.my / kasamani@premierpath.com.my,,2.943889,101.312194
BK0010,PSSB 1,Premierpath System Sdn. Bhd. (Northport),"6 Jalan Perigi Nenas 7/3, Taman Perindustrian Pulau Indah, 42920 Pulau Indah","25 Lorong Sultan Mohamed 25E, Kawasan Perindustrian Bandar Sultan Suleiman, 42000 Port Klang",Mr. Mohamad Azhari / Mr. Halil / Mr. Kasamani Jais,016-2256591 / 017-5468889 / 012-2191594,azhari@premierpath.com.my / halil@premierpath.com.my / kasamani@premierpath.com.my,Lorong Sultan Mohamed 25E coordinates,3.042611,101.371528
BK0011,PKGB,North West Depot,"Lot 28 Lebuh Sultan Sulaiman 5, Bandar Sultan Sulaiman, 42000 Port Klang","Lot 28 Lebuh Sultan Sulaiman 5, Bandar Sultan Sulaiman, 42000 Port Klang",Mr. Govindasamy Naidu / Ms. Zalina,012-2451122 / 016-2139505,govin@northwest.my / zalina@northwest.my / haulage@northwest.my,,3.038278,101.377028
BK0012,WARNA SARI,Warnasari Mutiara Depot,"Lot PT 64227, Jalan Perigi Nanas 8/7, Taman Perindustrian Pulau Indah, 42920 Port Klang","Lot PT 64227, Jalan Perigi Nanas 8/7, Taman Perindustrian Pulau Indah, 42920 Port Klang",Mr. Mohd. Halim b Ahmad,010-4334760,mhalim@wsmdepot.my,,2.952194,101.318917
